age,education,education-num,race,income
39, Bachelors, 13, White, <=50K
50, Bachelors, 13, White, <=50K
38, HS-grad, 9, White, <=50K
53, 11th, 7, Black, <=50K
28, Bachelors, 13, Black, <=50K
37, Masters, 14, White, <=50K
49, 9th, 5, Black, <=50K
52, HS-grad, 9, White, >50K
31, Masters, 14, White, >50K
42, Bachelors, 13, White, >50K
37, Some-college, 10, Black, >50K
30, Bachelors, 13, Asian-Pac-Islander, >50K
23, Bachelors, 13, White, <=50K
32, Assoc-acdm, 12, Black, <=50K
40, Assoc-voc, 11, Asian-Pac-Islander, >50K
34, 7th-8th, 4, Amer-Indian-Eskimo, <=50K
25, HS-grad, 9, White, <=50K
32, HS-grad, 9, White, <=50K
38, 11th, 7, White, <=50K
43, Masters, 14, White, >50K
40, Doctorate, 16, White, >50K
54, HS-grad, 9, Black, <=50K
35, 9th, 5, Black, <=50K
43, 11th, 7, White, <=50K
59, HS-grad, 9, White, <=50K
56, Bachelors, 13, White, >50K
19, HS-grad, 9, White, <=50K
54, Some-college, 10, Asian-Pac-Islander, >50K
39, HS-grad, 9, White, <=50K
49, HS-grad, 9, White, <=50K
23, Assoc-acdm, 12, White, <=50K
20, Some-college, 10, Black, <=50K
45, Bachelors, 13, White, <=50K
30, Some-college, 10, White, <=50K
22, Some-college, 10, Black, <=50K
48, 11th, 7, White, <=50K
21, Some-college, 10, White, <=50K
19, HS-grad, 9, White, <=50K
31, Some-college, 10, White, >50K
48, Assoc-acdm, 12, White, <=50K
31, 9th, 5, White, <=50K
53, Bachelors, 13, White, <=50K
24, Bachelors, 13, White, <=50K
49, HS-grad, 9, White, <=50K
25, HS-grad, 9, White, <=50K
57, Bachelors, 13, Black, >50K
53, HS-grad, 9, White, <=50K
44, Masters, 14, White, <=50K
41, Assoc-voc, 11, White, <=50K
29, Assoc-voc, 11, White, <=50K
25, Some-college, 10, Other, <=50K
18, HS-grad, 9, White, <=50K
47, Prof-school, 15, White, >50K
50, Bachelors, 13, White, >50K
47, HS-grad, 9, White, <=50K
43, Some-college, 10, White, >50K
46, 5th-6th, 3, White, <=50K
35, Assoc-voc, 11, White, <=50K
41, HS-grad, 9, White, <=50K
30, HS-grad, 9, White, <=50K
30, Bachelors, 13, White, <=50K
32, 7th-8th, 4, White, <=50K
48, HS-grad, 9, White, <=50K
42, Doctorate, 16, White, >50K
29, Some-college, 10, White, <=50K
36, HS-grad, 9, White, <=50K
28, Some-college, 10, White, <=50K
53, HS-grad, 9, White, >50K
49, Some-college, 10, White, >50K
25, Some-college, 10, White, <=50K
19, Some-college, 10, White, <=50K
31, Bachelors, 13, Black, <=50K
29, Bachelors, 13, White, >50K
23, Some-college, 10, White, <=50K
79, Some-college, 10, White, <=50K
27, HS-grad, 9, White, <=50K
40, Assoc-acdm, 12, White, <=50K
67, 10th, 6, White, <=50K
18, 11th, 7, White, <=50K
31, 7th-8th, 4, White, <=50K
18, HS-grad, 9, White, <=50K
52, Bachelors, 13, White, <=50K
46, HS-grad, 9, White, <=50K
59, HS-grad, 9, White, <=50K
44, HS-grad, 9, White, >50K
53, HS-grad, 9, White, <=50K
49, HS-grad, 9, White, >50K
33, Masters, 14, White, <=50K
30, 9th, 5, White, <=50K
43, Doctorate, 16, White, >50K
57, Assoc-voc, 11, White, <=50K
37, Some-college, 10, White, <=50K
28, Some-college, 10, Black, <=50K
30, HS-grad, 9, Asian-Pac-Islander, <=50K
34, Bachelors, 13, White, >50K
29, Some-college, 10, White, <=50K
48, Doctorate, 16, White, >50K
37, Some-college, 10, White, >50K
48, Assoc-acdm, 12, White, <=50K
32, HS-grad, 9, Black, <=50K
76, Masters, 14, White, >50K
44, Bachelors, 13, White, >50K
47, Masters, 14, White, <=50K
20, Some-college, 10, White, <=50K
29, HS-grad, 9, White, <=50K
32, HS-grad, 9, White, >50K
17, 10th, 6, White, <=50K
30, 11th, 7, White, <=50K
31, HS-grad, 9, White, <=50K
42, HS-grad, 9, White, <=50K
24, Bachelors, 13, White, <=50K
38, Prof-school, 15, White, >50K
56, HS-grad, 9, White, >50K
28, Some-college, 10, White, <=50K
36, HS-grad, 9, White, <=50K
53, 9th, 5, White, <=50K
56, Some-college, 10, White, <=50K
49, Assoc-voc, 11, Black, >50K
55, Some-college, 10, White, <=50K
22, HS-grad, 9, White, <=50K
21, Some-college, 10, White, <=50K
40, Bachelors, 13, White, <=50K
30, Bachelors, 13, Black, <=50K
29, Bachelors, 13, White, >50K
19, Some-college, 10, Black, <=50K
47, Bachelors, 13, White, >50K
20, Some-college, 10, White, <=50K
31, Assoc-acdm, 12, White, >50K
35, HS-grad, 9, White, <=50K
39, Some-college, 10, White, <=50K
28, Assoc-acdm, 12, White, <=50K
24, HS-grad, 9, White, <=50K
38, HS-grad, 9, White, <=50K
37, Bachelors, 13, White, <=50K
46, Assoc-acdm, 12, Black, <=50K
38, Masters, 14, White, >50K
43, HS-grad, 9, White, <=50K
27, Assoc-voc, 11, White, <=50K
20, Some-college, 10, White, <=50K
49, Some-college, 10, Asian-Pac-Islander, >50K
61, HS-grad, 9, White, <=50K
27, Some-college, 10, White, <=50K
19, Some-college, 10, White, <=50K
45, Assoc-voc, 11, White, >50K
70, Some-college, 10, White, <=50K
31, HS-grad, 9, Black, <=50K
22, Some-college, 10, White, <=50K
36, HS-grad, 9, White, <=50K
64, 11th, 7, White, <=50K
43, Some-college, 10, White, <=50K
47, Some-college, 10, White, <=50K
34, HS-grad, 9, White, <=50K
33, Bachelors, 13, Asian-Pac-Islander, <=50K
21, HS-grad, 9, White, <=50K
52, HS-grad, 9, White, >50K
48, HS-grad, 9, White, <=50K
23, Bachelors, 13, White, <=50K
71, Some-college, 10, Black, <=50K
29, HS-grad, 9, White, <=50K
42, Bachelors, 13, Black, <=50K
68, 1st-4th, 2, White, <=50K
25, HS-grad, 9, White, <=50K
44, Masters, 14, Asian-Pac-Islander, <=50K
